user-id,password,chosen_country,favourite_country,actual_county
1,1,103,103,103
32295895,m02j7LjC,57,57,57
191440277,uMUl637p,1,1,1
99381898,MeblifKK,138,138,138
52239603,22NnjRSZ,136,136,136
126795202,FTd3uRFU,83,83,83
161752154,MaJGMnY6,114,114,114
95392304,V0pGh8QX,96,96,96
361130229,av2Zvd3c,59,59,59
97656837,49uo7hka,106,106,106
94357658,m5jynqF0,21,21,21
265163878,CHOJr2J0,7,7,7
404584921,BqUKLVUp,143,143,143
232134665,gS0GIQZg,41,41,41
319161899,on9GetLa,20,20,20
212322384,tSp2Lmlo,58,58,58
372384916,apPS6sCi,86,86,86
252598222,vN6ARWD6,34,34,34
57135485,KmPJAE5o,173,173,173
53419071,EpVHpZ5C,154,154,154
207741467,cmAZaTw6,101,101,101
50913323,JpXSPSsb,33,33,33
255877487,oo8T7e7X,164,164,164
111737005,Tt8rClFf,175,175,175
160244924,GLdBzNBX,16,16,16
269513543,WsaIB4wZ,7,7,7
78732850,Wry0IfCF,52,52,52
28921278,YYej1h1n,13,13,13
89309758,sA81nDyd,42,42,42
215445337,WyqY2oQq,88,88,88
111951666,7xuG1tTn,69,69,69
185676694,QjgRE8KH,102,102,102
350046869,WuIDmM9b,132,132,132
148421454,pN3p5C3e,2,2,2
84631168,OMQ1S7Xg,80,80,80
240229687,nR502Puw,151,151,151
310088312,ZzUErPSh,69,69,69
52910587,qFlDnTTa,60,60,60
88773523,YemWobni,2,2,2
194996653,8tWiJ3vS,17,17,17
228414817,jCOXNSj4,127,127,127
426356050,Yh8gQoNA,89,89,89
160508707,sulcD3vV,27,27,27
279885584,rccUkjbU,36,36,36
126991143,icXMBoT7,119,119,119
125201815,WkpqjTdB,97,97,97
324278037,mPfbJ24V,34,34,34
283722729,biRJa5v0,154,154,154
291177320,xPDVmvk7,67,67,67
356226477,hf3qu0Sc,96,96,96
272564457,F2eq8NX8,128,128,128
34794161,y31RGe45,70,70,70
268029995,D9zWgoQx,4,4,4
234053740,4izlriZ9,4,4,4
132558032,xKtPQk69,106,106,106
50699633,YNxQB3cu,153,153,153
314038685,iyMQcqNc,35,35,35
297180071,wGaha14g,152,152,152
314495447,8MxK1tzW,152,152,152
251686529,oo63PSkN,48,48,48
196068191,dwl8z4WG,79,79,79
55899236,nGmxatdh,111,111,111
58555615,UEd6EPgW,172,172,172
108683638,isOrgyp3,125,125,125
256125136,ScvOj8Z3,113,113,113
212673752,WfwAxK9w,64,64,64
81491769,DajfeC6C,132,132,132
168726098,qSfIHLuN,29,29,29
111037748,9O8OzGjR,20,20,20
303314317,6DdKtIfj,156,156,156
249796335,OXWuEhZu,106,106,106
295169956,XiMCpJIZ,90,90,90
158991094,Uo5a7C9F,129,129,129
268968901,cLRHqyhU,65,65,65
181695754,voMKxspd,90,90,90
37763513,kfrfFVl8,47,47,47
129660687,2x8xC9QV,155,155,155
50470117,EGiYCgCK,75,75,75
225555160,y31o8uTN,13,13,13
52937733,i4e5BL1Y,78,78,78
43985223,hyYYZJ64,98,98,98
28618077,bB54iKra,161,161,161
119547091,JKTBkKSQ,78,78,78
48230277,13W2pEmf,111,111,111
163793889,ONloPKwc,126,126,126
208857501,cMHI3jD1,135,135,135
148452455,Tj9epArs,18,18,18
166305953,1ydoPAfQ,143,143,143
97034316,zUwCu4tb,137,137,137
277583465,F7daLFvW,72,72,72
124893332,RbSddpDX,150,150,150
45782571,VR17YGcJ,174,174,174
124548661,OBuYVfGJ,69,69,69
105629660,s2mb5ueu,168,168,168
74243651,GZgNvN8d,123,123,123
358794309,RONdeCDh,94,94,94
57191859,Tko9sZsu,134,134,134
385545403,o0rbISyU,168,168,168
374252684,xqohNyJx,2,2,2
76110331,weKX9M5r,3,3,3
232675006,pK9ib2Fc,113,113,113
25850920,jgXqlldi,102,102,102
78245093,jZKjzcRW,79,79,79
170369956,oxRooRXu,140,140,140
52636460,jllOeRX7,173,173,173
41842314,T7yCtgvY,152,152,152
73955660,72V9d5Zx,63,63,63
50347961,N59kQfqI,107,107,107
80745185,icb6gcfu,127,127,127
46549335,Zl2F0jH4,9,9,9
112684158,JQypCRm8,94,94,94
125895011,IvkztqjV,136,136,136
22264497,Yw7YGIP3,45,45,45
283019679,E8NbT0C3,47,47,47
21374734,keBT6d2w,144,144,144
56461813,rKjIbd6G,20,20,20
247301893,UWL6C4bi,174,174,174
389794066,VBaO2OQc,71,71,71
163165565,ytOWD971,127,127,127
294650985,JMjjwx5P,145,145,145
190383770,1gGE3C8o,95,95,95
223701990,u2W25u9H,91,91,91
58756635,LPUyO9C1,58,58,58
163227608,PFBm1QkJ,179,179,179
178802953,bcR9aFFK,32,32,32
102345308,rHyVNXsE,1,1,1
37293742,rVpcTS2G,89,89,89
192554988,WCe2LDZW,18,18,18
41302662,OIZmdHbJ,78,78,78
186461087,kDLxfQDU,3,3,3
30336217,vIRcfIc8,66,66,66
311507891,LhDbsvFf,44,44,44
350145076,WmGGEot1,10,10,10
93494878,0UKGhIZL,82,82,82
184868416,WIxqYlWa,21,21,21
184600544,PzBKdhp9,176,176,176
282689230,wOL6B0Cd,118,118,118
48037176,sX6WWOlV,91,91,91
88535066,fuXALHRg,48,48,48
256721418,SiyfJwaw,88,88,88
153497299,fm7tKE7p,26,26,26
111598793,FGDoWnvp,165,165,165
338987977,GzRAF8En,0,0,0
37251031,xEiLiieL,1,1,1
152017239,RyctDp6g,18,18,18
138507733,6V1Q7lph,116,116,116
94921530,Dk48341X,176,176,176
52788640,bg4V8yJI,56,56,56
309377087,SMxYjgfW,56,56,56
116867547,v9gLJVzV,82,82,82
118254331,nseZSO4m,52,52,52
110096860,Hze65LxE,27,27,27
250643894,4aYHhigh,82,82,82
77695039,OL1VeaLz,39,39,39
49500404,zBBNsOd8,158,158,158
309563555,JYw2t7s4,0,0,0
116863408,Dj93WUqS,138,138,138
28879582,3OEzXLr5,146,146,146
173500626,p7AchNN6,63,63,63
330782988,4rzMvLe9,70,70,70
206104123,OiumMvCO,106,106,106
30005730,G1gnbhQD,128,128,128
64935178,47wRNxCF,41,41,41
29796665,MUp1nGoK,0,0,0
293459316,VqAt6Ffw,17,17,17
93978793,RvOgOFK4,153,153,153
285602993,ueZKZB62,20,20,20
307454811,UcRgiFSL,110,110,110
213422600,jLY4xlDW,146,146,146
41158916,ZOYyZ3D8,179,179,179
174408936,43nWOzR7,179,179,179
314451501,8KH6NL0y,15,15,15
66861083,s17uM04I,19,19,19
38319749,u7x3TmXk,168,168,168
46993009,6RekpFqO,33,33,33
210710604,vwI7nznY,149,149,149
129038281,YMKGFZP2,37,37,37
109511265,iD9WBycp,115,115,115
141213687,03Ylr2rU,147,147,147
164875063,VTrWYWVE,151,151,151
206077723,ZX42CipG,146,146,146
236056594,aCT81M3Q,77,77,77
113824001,1d4dlBzw,18,18,18
62622394,UHWqZIzq,38,38,38
149737126,GQmvzcQD,10,10,10
254214425,DzcYp00N,35,35,35
223454110,d0xuF9Fn,107,107,107
58995592,ySKcOkPP,91,91,91
76550508,ijhdmOAk,133,133,133
45830932,YljV3hQa,95,95,95
36566959,gQU4HqEJ,13,13,13
56293543,eJ3doT7b,28,28,28
186396537,0ViHpfQ0,0,0,0
191528548,7PFl19dB,167,167,167
167568193,Tq3RmKip,76,76,76
96115446,aCP5OjnQ,168,168,168
66680359,tixfuE6Q,60,60,60
96080799,DGQpgAcM,86,86,86
61859882,dUwBuv9H,169,169,169
19403792,nfjY9AOm,59,59,59
411942945,JBxPVjGU,43,43,43
225789591,s9Dzsnzg,62,62,62
65052011,As1obmCP,83,83,83
144030100,0AdDXvaZ,160,160,160
199940110,UFoL8lf7,63,63,63
326177846,BxBUKRsi,55,55,55
157798718,gP1qYeQO,47,47,47
221652652,QPEDlE60,147,147,147
361472932,8kKG32LR,176,176,176
329530317,REO3Neqf,24,24,24
158130580,x9TqcuCR,23,23,23
200189353,zKj0yxcR,34,34,34
41242649,7ZaFbhBU,116,116,116
277760459,8dfAjyrq,2,2,2
112772123,mIdQZICy,133,133,133
38667407,qwoDKMWh,14,14,14
167542540,qEEA6MGQ,147,147,147
79370763,K3iq1O9B,141,141,141
35164906,tdIHhT9A,109,109,109
66424977,fd6HtOhQ,50,50,50
124430694,a1Fy5ecS,50,50,50
36337870,J8D0X1XN,110,110,110
41686753,Zmh2q8ve,86,86,86
213018568,eWfLZzNq,2,2,2
182109949,tSWVMWLB,22,22,22
78080743,c5fH1DTS,63,63,63
42774199,U6ceogh9,64,64,64
29621671,iB2i2TCs,30,30,30
115751032,wC4xlX4h,36,36,36
44826413,XQawzDCT,143,143,143
47099999,Y8YqKUP0,5,5,5
276921839,rcmUXxZQ,3,3,3
193085337,nuUJ7tJn,46,46,46
84489293,w76lfwtF,103,103,103
173459964,Nzy85ZWR,17,17,17
23675597,2QDwA4dg,37,37,37
228821798,IjbAydRG,137,137,137
217282242,ci1jvUAb,128,128,128
371874313,s3PNVRsF,111,111,111
233562103,BBBquBjf,34,34,34
39738114,Duf71tVo,129,129,129
55148515,o37C4HXC,116,116,116
22634429,8do63zf3,70,70,70
114104699,8XBwEb0C,76,76,76
327831039,WVX9U3xV,69,69,69
74839141,bD5q24O9,155,155,155
46225820,6c7ia1bZ,82,82,82
191211089,Hj2BxDAx,138,138,138
60090814,qNsFhfY3,19,19,19
110992838,TnMklK7v,75,75,75
57266928,JiWCrr3h,89,89,89
105875448,4JED3w5l,32,32,32
62977888,SOzrvBbi,136,136,136
187800127,0ag02RqC,27,27,27
37480447,omrDvjb8,15,15,15
120460637,ByDhZQhv,35,35,35
278688247,b79LGgQQ,18,18,18
163591091,yuZZVbWW,7,7,7
115282436,9xIZrM1G,41,41,41
25209054,4eG1WqeR,178,178,178
35859314,U9E80mPg,31,31,31
51449340,Cq1RqrHr,98,98,98
140560360,MqwN5qdh,156,156,156
37210462,eyb5NhBl,35,35,35
187280762,ISMF8WAY,50,50,50
62591458,ErK1P9ix,166,166,166
230623551,IcDsNlpQ,164,164,164
261816444,5ZH2EJLz,100,100,100
43460933,158n8xSo,141,141,141
71024796,TLKBfMGR,80,80,80
184104095,PjFeboeX,143,143,143
48056150,IzkGHgm9,61,61,61
59235703,6U36NTuW,126,126,126
320031366,SfXorVNd,149,149,149
22862691,fL1mHXUa,173,173,173
174194590,na4S2RZA,26,26,26
165742712,KFEO6bzY,16,16,16
35520712,xFbRipPB,58,58,58
86188406,vNzqrR65,7,7,7
156080932,Hbpns8za,137,137,137
230607496,oWBZYvdj,67,67,67
209732791,z17dwDLH,134,134,134
293019998,dC6Kn0lP,119,119,119
102766864,62HswCZm,118,118,118
289570982,cld3hPO9,80,80,80
132967949,AG8NG9YO,107,107,107
231947794,00WWz8uX,156,156,156
257279776,e8IIE4bl,3,3,3
223078290,2HRozbbD,138,138,138
132144474,421MuAXn,72,72,72
76737787,jRlKxo4g,33,33,33
118577463,sEsZZvbK,52,52,52
50895937,PAGepQCd,129,129,129
50070799,Gp1bKYa7,141,141,141
144930540,9DiOUWM0,120,120,120
331759172,uyMmJPD8,15,15,15
172995825,VJortg6J,13,13,13
23699368,P6n2Anju,146,146,146
368678005,B9p4gGU3,161,161,161
59459031,KNuHk37s,123,123,123
65380812,2DiPtOO2,163,163,163
82171379,e2o23bkq,50,50,50
278935611,H8IFpgdv,67,67,67
43687608,cvcmgoUb,154,154,154
52584974,5TYCxa9d,64,64,64
200885871,nleruhVK,8,8,8
374120687,0AomjT4x,152,152,152
267190923,2IKkMLoJ,164,164,164
122608357,SJRuzNRG,31,31,31
251329117,HbMtW28p,102,102,102
40043592,buQClzUK,67,67,67
226460207,5C86rPO9,58,58,58
231880443,chV0dhxP,106,106,106
155883382,OpNGmvry,140,140,140
149677186,8o3245CB,32,32,32
292294915,9zdyOw40,56,56,56
263353233,DQwFBiPr,147,147,147
282430719,RkpOEWYu,85,85,85
39625853,QIF3c6nF,85,85,85
219447418,b3U7VPAR,151,151,151
327463126,WHayuaXS,32,32,32
210039488,eL9phKYG,147,147,147
199887315,icpk4QFs,15,15,15
223510610,i4Z5UpSN,115,115,115
402842827,aEh7QzDd,161,161,161
290642689,tJWhgbuB,6,6,6
46826487,DfnYXR0e,156,156,156
12857182,YME2um6K,110,110,110
347396669,SRlXLsty,177,177,177
229694015,w4iofTpm,179,179,179
35374269,sJtbvx1m,80,80,80
391506819,BNpDVgMO,97,97,97
396653087,nUoOaXao,114,114,114
30412394,uUAcHclg,162,162,162
41033660,RiJZ7EOL,15,15,15
107430818,FUDTKIXi,161,161,161
